Sample ID,Sample Name
Mo_2017_DOM_130,M_AL-1-T3
Mo_2017_DOM_131,M_CR-1-T3
Mo_2017_DOM_132,M_AR-1-T3
Mo_2017_DOM_133,M_OW-1-T4
Mo_2017_DOM_134,M_TW-1-T4
Mo_2017_DOM_135,M_CW-1-T4
Mo_2017_DOM_136,M_AW-1-T4
Mo_2017_DOM_137,M_CL-1-T4
Mo_2017_DOM_138,M_AL-1-T4
Mo_2017_DOM_139,M_CR-1-T4
Mo_2017_DOM_140,M_AR-1-T4
Mo_2017_DOM_141,M_OW-2-T1
Mo_2017_DOM_142,M_TW-2-T1
Mo_2017_DOM_143,M_CW-2-T1
Mo_2017_DOM_144,M_AW-2-T1
Mo_2017_DOM_145,M_CL-2-T1
Mo_2017_DOM_146,M_AL-2-T1
Mo_2017_DOM_147,M_CR-2-T1
Mo_2017_DOM_148,M_AR-2-T1
Mo_2017_DOM_149,M_OW-2-T2
Mo_2017_DOM_150,M_TW-2-T2
Mo_2017_DOM_151,M_CW-2-T2
Mo_2017_DOM_152,M_AW-2-T2
Mo_2017_DOM_153,M_CL-2-T2
Mo_2017_DOM_154,M_AL-2-T2
Mo_2017_DOM_155,M_CR-2-T2
Mo_2017_DOM_156,M_AR-2-T2
Mo_2017_DOM_157,M_OW-2-T3
Mo_2017_DOM_158,M_TW-2-T3
Mo_2017_DOM_159,M_CW-2-T3
Mo_2017_DOM_160,M_AW-2-T3
Mo_2017_DOM_161,M_CL-2-T3
Mo_2017_DOM_162,M_AL-2-T3
Mo_2017_DOM_163,M_CR-2-T3
Mo_2017_DOM_164,M_AR-2-T3
Mo_2017_DOM_165,M_OW-2-T4
Mo_2017_DOM_166,M_TW-2-T4
Mo_2017_DOM_167,M_CW-2-T4
Mo_2017_DOM_168,M_AW-2-T4
Mo_2017_DOM_169,M_CL-2-T4
Mo_2017_DOM_170,M_AL-2-T4
Mo_2017_DOM_171,M_CR-2-T4
Mo_2017_DOM_172,M_AR-2-T4
Mo_2017_DOM_173,M_OW-3-T1
