sample_name,Initial_TIC,Total_features,sample_TIC_background_removal,background_removal_features,sample_TIC,transient_removal_features,RR3_exudate_TIC,RR3_exudate__features
D_WA_2_TFN,126912665917.44093,20742,44789560775.54576,13843,44760148206.08916,10605,NA,NA
D_WA_3_TFD,151503329324.6486,20742,56162960567.71924,13843,56135100621.240326,10605,NA,NA
D_WA_3_TFN,141415987865.47055,20742,48968597950.59689,13843,48943128279.525246,10605,NA,NA
D_WA_4_TFD,166360757500.48306,20742,55248811149.79539,13843,55227462022.09347,10605,NA,NA
D_WA_4_TFN,156800647150.09955,20742,50936409548.40936,13843,50889309212.10169,10605,NA,NA
M_AL-1-T1,222232632534.724,20742,129726487553.41307,13843,129702995407.83218,12530,NA,NA
M_AL-1-T2,182597898997.6075,20742,122331982155.40244,13843,122306109611.13052,12530,NA,NA
M_AL-1-T3,170596529128.10562,20742,97127396923.37155,13843,97117070114.59961,12530,NA,NA
M_AL-1-T4,224436470076.78232,20742,144199742663.23547,13843,144186288181.50522,12530,NA,NA
M_AL-2-T1,186843035933.39395,20742,109715004767.31053,13843,109684043884.67102,12530,NA,NA
M_AL-2-T2,235820358287.8609,20742,140207707018.95337,13843,140192661026.98065,12530,NA,NA
M_AL-2-T3,203045413653.2522,20742,126030422319.22559,13843,126020801810.56422,12530,NA,NA
M_AL-2-T4,239574393862.89893,20742,163672736671.90768,13843,163663313890.9687,12530,NA,NA
M_AL-3-T1,224472329179.88828,20742,147670226103.05704,13843,147662673989.15347,12530,NA,NA
M_AL-3-T2,191431460500.28247,20742,126799091808.0024,13843,126787879981.4872,12530,NA,NA
M_AL-3-T3,233758817990.19067,20742,155853305978.8136,13843,155842225795.0737,12530,NA,NA
M_AL-3-T4,229545378757.91763,20742,154125826896.97345,13843,154116074904.70932,12530,NA,NA
M_AR-1-T1,157978186459.94714,20742,74553372878.03456,13843,74540372416.22658,12530,NA,NA
M_AR-1-T2,145783864685.48236,20742,83525961780.92146,13843,83511454496.64893,12530,NA,NA
M_AR-1-T3,153608101721.0121,20742,91743906662.63762,13843,91717962594.19254,12530,NA,NA
M_AR-1-T4,192607537054.11917,20742,111587066391.72249,13843,111424917268.69061,12530,NA,NA
M_AR-2-T1,201593065802.74673,20742,122563925851.30258,13843,122553488667.26674,12530,NA,NA
M_AR-2-T2,291970836618.6847,20742,206085819392.70007,13843,206069527945.29388,12530,NA,NA
M_AR-2-T3,231992424280.91592,20742,163546001501.26968,13843,163534116005.43826,12530,NA,NA
M_AR-2-T4,221557306920.60077,20742,136171431960.60039,13843,136162600724.55504,12530,NA,NA
M_AR-3-T1,209350492593.77792,20742,150629987624.50455,13843,150513017568.14386,12530,NA,NA
M_AR-3-T2,201905743218.3897,20742,143162057952.04428,13843,143124893687.05078,12530,NA,NA
M_AR-3-T3,246768379748.31387,20742,176860254315.16904,13843,176845368330.29913,12530,NA,NA
M_AR-3-T4,140380248262.53577,20742,89107538272.5968,13843,89099253338.40475,12530,NA,NA
M_AW-1-T1,223984124152.3694,20742,129351053338.02724,13843,129313265856.56825,12530,NA,NA
M_AW-1-T2,213258401965.19092,20742,137124542419.64986,13843,137110402045.00558,12530,NA,NA
M_AW-1-T3,180088822201.62943,20742,117789354890.28694,13843,117637799051.38776,12530,NA,NA
M_AW-1-T4,197187007974.30475,20742,134240361393.55118,13843,134214006425.81573,12530,NA,NA
M_AW-2-T1,184532155507.34875,20742,95535531555.0094,13843,95521798845.08719,12530,NA,NA
M_AW-2-T2,255970640031.7236,20742,164805605318.2059,13843,164723521768.9157,12530,NA,NA
M_AW-2-T3,166002718363.95914,20742,82056817602.9116,13843,82026514800.47406,12530,NA,NA
M_AW-2-T4,173368327146.3203,20742,101270682800.89232,13843,101261082806.09557,12530,NA,NA
M_AW-3-T1,190826155430.85822,20742,124942707253.58401,13843,124934339982.92288,12530,NA,NA
M_AW-3-T2,124722757554.57712,20742,80572051338.44534,13843,80543568235.31612,12530,NA,NA
M_AW-3-T3,242961887763.54492,20742,158268179803.5158,13843,158257443458.47357,12530,NA,NA
M_AW-3-T4,194628613182.3842,20742,134481479779.26283,13843,134447395054.73788,12530,NA,NA
M_CL-1-T1,182101311245.46222,20742,86136171177.71289,13843,86124365655.06734,12530,NA,NA
M_CL-1-T2,167619727077.8784,20742,99671302357.58464,13843,99663443528.0362,12530,NA,NA
M_CL-1-T3,212660226669.6926,20742,124123756333.90137,13843,124109788803.74158,12530,NA,NA
M_CL-1-T4,151633777664.13464,20742,84579500019.64934,13843,84571894661.90572,12530,NA,NA
M_CL-2-T1,158722575808.04013,20742,76843713783.65105,13843,76833570090.56609,12530,NA,NA
M_CL-2-T2,175504059330.6056,20742,102149593844.29865,13843,102133587039.03947,12530,NA,NA
M_CL-2-T3,117383221778.96407,20742,72621054703.19684,13843,72611680828.86668,12530,NA,NA
M_CL-2-T4,146903865597.22598,20742,90813415518.52263,13843,90792405334.5662,12530,NA,NA
M_CL-3-T1,187790330758.08713,20742,130106283870.82631,13843,130094636565.52953,12530,NA,NA
M_CL-3-T2,154805140309.08398,20742,109066574397.82303,13843,109057191739.00069,12530,NA,NA
M_CL-3-T3,209442688567.04138,20742,155447679362.95056,13843,155436975261.2254,12530,NA,NA
M_CL-3-T4,82966564959.94736,20742,43400507030.72101,13843,43393865383.53422,12530,NA,NA
M_CR-1-T1,202826974427.47015,20742,111863984280.83827,13843,111852049247.3885,12530,NA,NA
M_CR-1-T2,257632005845.49463,20742,165918378202.1619,13843,165887896243.52496,12530,NA,NA
M_CR-1-T3,160505944409.57578,20742,96515564000.22833,13843,96235438260.6149,12530,NA,NA
M_CR-1-T4,152447910180.68018,20742,103754093502.08199,13843,103573686041.85695,12530,NA,NA
M_CR-2-T1,211150323317.92816,20742,112735966447.91939,13843,112724865196.37018,12530,NA,NA
M_CR-2-T2,201465617609.00955,20742,124961630779.80208,13843,124946159585.7767,12530,NA,NA
M_CR-2-T3,200548731023.6415,20742,125121989986.1591,13843,125111002422.12975,12530,NA,NA
M_CR-2-T4,194774087365.2035,20742,103791523648.20796,13843,103779857628.10722,12530,NA,NA
M_CR-3-T1,182188675732.96634,20742,112659784667.75264,13843,112650106714.63629,12530,NA,NA
M_CR-3-T2,151631511701.80597,20742,95973808373.46312,13843,95957578754.34732,12530,NA,NA
M_CR-3-T3,27414954147.172268,20742,15066786846.209314,13843,15062024502.817337,12530,NA,NA
M_CR-3-T4,137586159021.46426,20742,79809545003.78787,13843,79801922177.87993,12530,NA,NA
M_CW-1-T1,178053488371.8349,20742,82891942897.97473,13843,82853319047.3162,12530,NA,NA
M_CW-1-T2,211095387252.75092,20742,108966566830.19572,13843,108951709469.00906,12530,NA,NA
M_CW-1-T3,169530816313.80847,20742,100350909043.22456,13843,100343027628.39528,12530,NA,NA
M_CW-1-T4,208961375429.70743,20742,118930219270.93129,13843,118919973874.41663,12530,NA,NA
M_CW-2-T1,205210751209.19998,20742,125864803778.07297,13843,125829736692.00739,12530,NA,NA
M_CW-2-T2,282121997911.62555,20742,175392712953.3167,13843,175377416795.00266,12530,NA,NA
M_CW-2-T3,172631042671.71494,20742,102686079919.36743,13843,102676283861.81604,12530,NA,NA
M_CW-2-T4,212305653716.92328,20742,137700985014.67764,13843,137602041310.9687,12530,NA,NA
M_CW-3-T1,147676008731.09555,20742,77691600846.13068,13843,77683320686.12997,12530,NA,NA
M_CW-3-T2,103580120656.57794,20742,63213066356.65153,13843,63204633332.26054,12530,NA,NA
M_CW-3-T3,126214790147.95699,20742,84932455413.36293,13843,84923906859.27293,12530,NA,NA
M_CW-3-T4,169242297548.83582,20742,110692444859.46805,13843,110680178259.00229,12530,NA,NA
M_OW-1-T1,104316699161.46823,20742,49137550635.74184,13843,49108726689.55946,12530,NA,NA
M_OW-1-T2,86342495695.27057,20742,44513549369.7437,13843,44504515190.42967,12530,NA,NA
M_OW-1-T3,109477225249.48593,20742,57491099758.53661,13843,57483005708.991905,12530,NA,NA
M_OW-1-T4,113196564006.70729,20742,56164052973.528534,13843,56156372626.41845,12530,NA,NA
M_OW-2-T1,153620480549.0393,20742,64221637674.9449,13843,64211941667.05306,12530,NA,NA
M_OW-2-T2,170989502046.45682,20742,92415185020.16339,13843,92402618115.21013,12530,NA,NA
M_OW-2-T3,123901600248.48949,20742,54393086177.24803,13843,54380888074.31984,12530,NA,NA
M_OW-2-T4,120047569462.75027,20742,48409776928.4065,13843,48401568128.47326,12530,NA,NA
M_OW-3-T1,120239121920.54626,20742,56690459501.78704,13843,56682928232.67159,12530,NA,NA
M_OW-3-T2,91210347294.03712,20742,47995743188.87131,13843,47987035338.758934,12530,NA,NA
M_OW-3-T3,133073683307.10367,20742,76512315802.29501,13843,76420041304.17609,12530,NA,NA
M_OW-3-T4,205544209801.25064,20742,137401949366.6531,13843,137310265905.70116,12530,NA,NA
M_TW-1-T1,202975237463.13156,20742,88863878858.20872,13843,88851576246.25294,12530,NA,NA
M_TW-1-T2,138368274486.1609,20742,77558087911.76056,13843,77549964845.55528,12530,NA,NA
M_TW-1-T3,131362446889.48073,20742,81694225021.77817,13843,81687010671.61778,12530,NA,NA
M_TW-1-T4,175097734037.9978,20742,88372229157.34303,13843,88361410891.84546,12530,NA,NA
M_TW-2-T1,222509795965.77737,20742,107619737489.3011,13843,107610228480.62659,12530,NA,NA
M_TW-2-T2,146865947024.97546,20742,60075161555.972176,13843,60057774060.1706,12530,NA,NA
M_TW-2-T3,159839161872.59042,20742,91292401717.10625,13843,91282707039.338,12530,NA,NA
M_TW-2-T4,187274091417.79712,20742,91532540706.80417,13843,91521580423.46272,12530,NA,NA
M_TW-3-T1,165823335550.88577,20742,97299299008.6154,13843,97293003098.51201,12530,NA,NA
M_TW-3-T2,120540452097.42561,20742,79285508477.13432,13843,79279167898.07939,12530,NA,NA
M_TW-3-T3,143720202717.9779,20742,93633362876.72527,13843,93625438776.0259,12530,NA,NA
M_TW-3-T4,159145788393.41125,20742,110499464328.79163,13843,110492678664.05533,12530,NA,NA
R_CC_1_TFD,166345012079.96335,20742,67288149781.23557,13843,66996768817.83171,10533,66996768817.83171,10533
R_CC_1_TFN,169129362640.09445,20742,70838527777.58354,13843,70662710867.56078,10533,70662710867.56078,10533
R_CC_2_TFD,159776797611.93115,20742,63332244985.89011,13843,62767051622.953804,10533,62767051622.953804,10533
R_CC_2_TFN,164303530665.2754,20742,70214292370.66432,13843,69853612155.34714,10533,69853612155.34714,10533
R_CC_3_TFD,188370761389.7059,20742,66512733177.068726,13843,66432826225.58215,10533,66432826225.58215,10533
R_CC_3_TFN,166199780645.11795,20742,55041401064.61942,13843,54979904575.00542,10533,54979904575.00542,10533
R_DT_1_TFD,188253057590.23508,20742,85487976036.64395,13843,85419041294.55003,10533,85419041294.55003,10533
R_DT_1_TFN,199379064798.18173,20742,77319721659.06923,13843,77258024052.97728,10533,77258024052.97728,10533
R_DT_2_TFD,178731684844.51117,20742,79195957667.04346,13843,79117566587.41489,10533,79117566587.41489,10533
R_DT_2_TFN,201518347598.43607,20742,83719539886.96965,13843,83677428243.88884,10533,83677428243.88884,10533
R_DT_3_TFD,175835404322.15765,20742,87433653170.3918,13843,87374359803.75714,10533,87374359803.75714,10533
R_DT_3_TFN,189788298782.1905,20742,66022207057.80502,13843,65959256077.709946,10533,65959256077.709946,10533
R_PL_1_TFD,144630387053.4971,20742,55754939641.621826,13843,55626700423.3084,10533,55626700423.3084,10533
R_PL_1_TFN,147742421856.97635,20742,54325115603.65807,13843,54214526984.544,10533,54214526984.544,10533
R_PL_2_TFD,154222209515.58316,20742,48128196553.182594,13843,48098739300.88326,10533,48098739300.88326,10533
R_PL_2_TFN,166742488694.9915,20742,56699364770.148895,13843,56405348150.58112,10533,56405348150.58112,10533
R_PL_3_TFD,161699826366.73672,20742,56306806450.90123,13843,56216698727.8193,10533,56216698727.8193,10533
R_PL_3_TFN,184500809230.60275,20742,54661302594.396996,13843,54586900910.75325,10533,54586900910.75325,10533
R_PV_1_TFD,142937659688.4589,20742,62769299732.05433,13843,62548713003.35747,10533,62548713003.35747,10533
R_PV_1_TFN,170061128005.10397,20742,64570385601.632385,13843,64517131360.45472,10533,64517131360.45472,10533
R_PV_2_TFD,149259765760.0165,20742,63930523243.20751,13843,63822626998.23635,10533,63822626998.23635,10533
R_PV_2_TFN,173911049462.48114,20742,63958998745.78987,13843,63813325710.936,10533,63813325710.936,10533
R_PV_3_TFD,193800475970.8962,20742,68354044997.756065,13843,67838022881.7554,10533,67838022881.7554,10533
R_PV_3_TFN,157216583136.25983,20742,53500002868.73959,13843,53424878692.520645,10533,53424878692.520645,10533
R_TR_1_TFD,158694427669.744,20742,71245599934.9873,13843,71003159164.19562,10533,71003159164.19562,10533
R_TR_1_TFN,159750997894.91095,20742,56047171796.53691,13843,56004809175.721375,10533,56004809175.721375,10533
R_TR_2_TFD,180607357286.63174,20742,71508048691.12183,13843,71365827932.90778,10533,71365827932.90778,10533
R_TR_2_TFN,200115158495.27817,20742,79516764644.52875,13843,79457279383.73462,10533,79457279383.73462,10533
R_TR_3_TFD,176108556566.00482,20742,97417070472.2737,13843,96914541939.55849,10533,96914541939.55849,10533
R_TR_3_TFN,205751211641.90054,20742,102367865945.00476,13843,102280488507.78459,10533,102280488507.78459,10533
R_WA_1_T0D,154065408021.1913,20742,46018644990.868484,13843,45114944618.89496,10533,45114944618.89496,10533
R_WA_1_T0N,150288976307.38663,20742,49289698008.073006,13843,49259456939.5168,10533,49259456939.5168,10533
R_WA_1_TFD,137373363823.06752,20742,42936177939.043465,13843,42905932386.75721,10533,42905932386.75721,10533
R_WA_1_TFN,153531938283.62134,20742,51811479001.5868,13843,51730045592.97984,10533,51730045592.97984,10533
R_WA_2_T0D,129890888011.81917,20742,43949538459.38612,13843,43918899950.88868,10533,43918899950.88868,10533
R_WA_2_T0N,160550784524.07797,20742,51002562800.60963,13843,50979832385.00922,10533,50979832385.00922,10533
R_WA_2_TFD,129376442193.48741,20742,45566434305.49915,13843,45531083011.083595,10533,45531083011.083595,10533
R_WA_2_TFN,152517543593.69693,20742,50146651986.99225,13843,50074220262.58741,10533,50074220262.58741,10533
R_WA_3_T0D,143452231610.48608,20742,44042615073.32447,13843,44000724316.11713,10533,44000724316.11713,10533
R_WA_3_T0N,158035675996.4049,20742,55522872411.945175,13843,55490685824.606735,10533,55490685824.606735,10533
R_WA_3_TFD,137820665726.4264,20742,44306467786.12133,13843,44281762434.80954,10533,44281762434.80954,10533
R_WA_3_TFN,143740818101.45248,20742,48473135526.65986,13843,48443496347.745125,10533,48443496347.745125,10533
SPIFFy_1_A,192154626319.16568,20742,49002239897.04749,13843,48900429481.46133,8308,NA,NA
SPIFFy_1_B,151767315742.63843,20742,42589003256.18621,13843,42494262000.47698,8308,NA,NA
SPIFFy_10_A,108431067974.3767,20742,34859905390.18524,13843,34777235208.86737,8308,NA,NA
SPIFFy_10_B,112587843442.93814,20742,29116125777.896126,13843,29048137310.314003,8308,NA,NA
SPIFFy_11_A,116727993112.47614,20742,27641333834.11952,13843,27588328362.170227,8308,NA,NA
SPIFFy_11_B,103826873594.38826,20742,26838458380.047348,13843,26777293113.38993,8308,NA,NA
SPIFFy_12_A,99941953389.68202,20742,26077578132.92142,13843,26006345148.37598,8308,NA,NA
SPIFFy_12_B,102191641067.64844,20742,26828730103.76132,13843,26771946237.823597,8308,NA,NA
SPIFFy_13_A,103381267032.6036,20742,27671065144.795506,13843,27614994297.975475,8308,NA,NA
SPIFFy_13_B,125236273853.71097,20742,33305497807.971245,13843,33236666309.123245,8308,NA,NA
SPIFFy_14_A,101654271444.78125,20742,29453818733.48098,13843,29396054843.31739,8308,NA,NA
SPIFFy_14_B,101564006468.0818,20742,29757503228.80488,13843,29696393558.59899,8308,NA,NA
SPIFFy_15_A,123838164204.74269,20742,36321574423.610306,13843,36239082218.33293,8308,NA,NA
SPIFFy_15_B,142056901785.48303,20742,34094793373.876915,13843,34023893162.93417,8308,NA,NA
SPIFFy_16_A,107857882475.19714,20742,29169324866.418892,13843,29101319632.58069,8308,NA,NA
SPIFFy_16_B,114630700295.57436,20742,31918059900.21921,13843,31851236275.230297,8308,NA,NA
SPIFFy_17_A,117094887119.75241,20742,34490834701.137924,13843,34416026630.02428,8308,NA,NA
SPIFFy_17_B,144877506942.64368,20742,33582147970.14977,13843,33514833202.446438,8308,NA,NA
SPIFFy_18_A,154966666240.62048,20742,35309882828.88241,13843,35255721214.8297,8308,NA,NA
SPIFFy_18_B,125376808124.80096,20742,34086747776.114536,13843,34015510332.949127,8308,NA,NA
SPIFFy_19_A,114690665775.70415,20742,26254094725.474014,13843,26174374679.50577,8308,NA,NA
SPIFFy_19_B,101552552085.86792,20742,25501147147.517902,13843,25422860750.67755,8308,NA,NA
SPIFFy_2_A,135256672029.26373,20742,42254069666.81066,13843,42170433392.84949,8308,NA,NA
SPIFFy_2_B,113563548177.46246,20742,33965618425.420784,13843,33889870309.727676,8308,NA,NA
SPIFFy_20_A,118192885046.81746,20742,33210820226.74788,13843,32799062826.942467,8308,NA,NA
SPIFFy_20_B,127211238028.28531,20742,30495674291.621384,13843,30436840144.251587,8308,NA,NA
SPIFFy_3_A,139115163311.60648,20742,38356632282.95643,13843,38263033335.40154,8308,NA,NA
SPIFFy_3_B,113232213331.55206,20742,36694032270.87985,13843,36589176080.37865,8308,NA,NA
SPIFFy_4_A,104243865111.37738,20742,34505617180.85451,13843,34432771205.26456,8308,NA,NA
SPIFFy_4_B,141840425809.9533,20742,37028131297.642006,13843,36960114521.5146,8308,NA,NA
SPIFFy_5_A,99730665964.09723,20742,30665415291.683968,13843,30577914834.089806,8308,NA,NA
SPIFFy_5_B,124565723906.80511,20742,31811314691.70807,13843,31744011456.830467,8308,NA,NA
SPIFFy_6_A,109736552772.29205,20742,26738032011.775852,13843,26653262935.18173,8308,NA,NA
SPIFFy_6_B,115787904800.97115,20742,31481513573.196712,13843,31393109027.472225,8308,NA,NA
SPIFFy_7_A,97938319881.64355,20742,27686746788.18652,13843,27573639600.442142,8308,NA,NA
SPIFFy_7_B,105700593008.57404,20742,33063900680.53819,13843,32956555221.958572,8308,NA,NA
SPIFFy_8_A,94046534058.42282,20742,32400737816.247562,13843,32290728266.679577,8308,NA,NA
SPIFFy_8_B,92478848040.23425,20742,29145266290.228455,13843,29038611278.166973,8308,NA,NA
SPIFFy_9_A,104235257644.97533,20742,29193261354.827522,13843,29121455419.958855,8308,NA,NA
SPIFFy_9_B,96430587862.45885,20742,32395187489.93952,13843,32313189847.16798,8308,NA,NA
SPIFFy_Blank,97368877764.25854,20742,4556254242.068247,13843,NA,NA,4524811069.945322,10533
