sample_name,Initial_TIC,Total_features,sample_TIC_background_removal,background_removal_features,sample_TIC,transient_removal_features,RR3_exudate_TIC,RR3_exudate__features
Blank_Lot_6350565_01,82850305973.5878,20742,5157953571.2560215,13843,NA,NA,5109547583.998481,10533
Blank_SD_01_A,13545330737.152077,20742,663090331.5204232,13843,NA,NA,657571217.5663979,10533
Blank_SD_01_B,11922643808.813406,20742,553438163.805499,13843,NA,NA,548534955.4229444,10533
Blank_SD_LoRDI,99920801562.2751,20742,3351264913.3869205,13843,NA,NA,3292826300.2543483,10533
Blank_SD_PPL,11676947320.906555,20742,590504165.1617831,13843,NA,NA,583901019.9478662,10533
Blank? look up name on PPL,75388379365.4823,20742,2925648793.5128407,13843,NA,NA,2905008867.6469293,10533
D_Blank,25835738840.214607,20742,853638985.0274295,13843,NA,NA,841364531.8925861,10533
D_Blank_DI,210837351719.8814,20742,32560329829.036613,13843,NA,NA,32214221849.72877,10533
D_CC_1_T0D,235074843142.04755,20742,85483241803.15805,13843,85451081596.12607,10605,NA,NA
D_CC_1_T0N,224253622485.61508,20742,64134823213.84446,13843,63839139301.63842,10605,NA,NA
D_CC_1_TFD,181012621511.3696,20742,65862888603.19706,13843,65835785251.70537,10605,NA,NA
D_CC_1_TFN,162754488137.9511,20742,51902808787.1587,13843,51860030034.731186,10605,NA,NA
D_CC_2_T0D,186491881113.86542,20742,65613424295.24108,13843,65578479115.564766,10605,NA,NA
D_CC_2_T0N,190680328600.2688,20742,62201758322.07759,13843,62141679562.0655,10605,NA,NA
D_CC_2_TFD,157133512623.36206,20742,59361398171.17134,13843,59328913526.88439,10605,NA,NA
D_CC_2_TFN,173279691009.70306,20742,52730284157.49157,13843,52705997626.447716,10605,NA,NA
D_CC_3_TFD,243628371979.92188,20742,81559477471.52359,13843,81533256624.77821,10605,NA,NA
D_CC_3_TFN,151670644548.3607,20742,56136383497.064705,13843,56084850821.87381,10605,NA,NA
D_CC_4_TFD,196410855884.00067,20742,65038111105.09312,13843,65006824481.29689,10605,NA,NA
D_CC_4_TFN,167844842498.0973,20742,57780397527.97834,13843,57758315952.23356,10605,NA,NA
D_DT_1_T0D,293675696780.0684,20742,112930576213.7447,13843,112884462215.30879,10605,NA,NA
D_DT_1_T0N,198268320012.34476,20742,80354233268.3234,13843,80326848585.42018,10605,NA,NA
D_DT_1_TFD,299751975063.39166,20742,93070754152.02232,13843,93038678034.95073,10605,NA,NA
D_DT_1_TFN,165993578259.65585,20742,71950546428.42963,13843,71900653198.41245,10605,NA,NA
D_DT_2_T0D,325639937473.702,20742,127878639982.67734,13843,127810471638.30518,10605,NA,NA
D_DT_2_T0N,199958214587.80185,20742,76135849878.15637,13843,76107635211.30096,10605,NA,NA
D_DT_2_TFD,268984718525.9058,20742,101545032921.64186,13843,101506035455.24173,10605,NA,NA
D_DT_2_TFN,175344690487.28104,20742,70041591442.13759,13843,70008751624.31163,10605,NA,NA
D_DT_3_TFD,264788915023.23532,20742,97863245667.49797,13843,97820252786.33504,10605,NA,NA
D_DT_3_TFN,183559008121.98822,20742,70443162819.76784,13843,70393824553.76482,10605,NA,NA
D_DT_4_TFD,259999473029.33936,20742,93822431018.07976,13843,93777389600.24287,10605,NA,NA
D_DT_4_TFN,174922219021.64926,20742,68127815673.877205,13843,68095017151.648384,10605,NA,NA
D_PL_1_T0D,272229737021.08392,20742,101922891483.71367,13843,101879532637.23804,10605,NA,NA
D_PL_1_T0N,215406649895.85483,20742,71363245913.05301,13843,71322415782.26323,10605,NA,NA
D_PL_1_TFD,191178320777.08817,20742,63865916172.175995,13843,63840970117.18432,10605,NA,NA
D_PL_1_TFN,143959675160.3212,20742,51829999453.17476,13843,51809089506.6757,10605,NA,NA
D_PL_2_T0D,261558271502.72302,20742,98751963509.41658,13843,98712953252.11763,10605,NA,NA
D_PL_2_T0N,204672292061.85635,20742,71429336335.25536,13843,71398903662.43213,10605,NA,NA
D_PL_2_TFD,211386740154.10718,20742,65377994166.99515,13843,65342804594.83673,10605,NA,NA
D_PL_2_TFN,168210758140.915,20742,56441550596.856445,13843,56417653171.111664,10605,NA,NA
D_PL_3_TFD,181123251488.14145,20742,59857208823.44314,13843,59754220097.67421,10605,NA,NA
D_PL_3_TFN,151824285376.47183,20742,51306426661.11486,13843,51270455362.323006,10605,NA,NA
D_PL_4_TFD,174452786890.31143,20742,66893940465.01034,13843,66866885961.28878,10605,NA,NA
D_PL_4_TFN,153039635460.23514,20742,52034148395.38671,13843,52010850886.359245,10605,NA,NA
D_PV_1_T0D,280776682954.88074,20742,110954996095.64415,13843,110801285085.34988,10605,NA,NA
D_PV_1_T0N,241636364352.37277,20742,102686169373.91837,13843,102651266333.69025,10605,NA,NA
D_PV_1_TFD,214448617036.6342,20742,62921972483.16119,13843,62903791004.750145,10605,NA,NA
D_PV_1_TFN,177215522502.82318,20742,77868526865.35484,13843,77818875705.5697,10605,NA,NA
D_PV_2_T0D,280264474249.1526,20742,113769480205.09097,13843,113658954032.66231,10605,NA,NA
D_PV_2_T0N,231063020644.8294,20742,101532242080.6752,13843,101496352442.27776,10605,NA,NA
D_PV_2_TFD,256536697079.1635,20742,84018627381.93324,13843,83984456487.0076,10605,NA,NA
D_PV_2_TFN,191998385718.67276,20742,81130612744.12512,13843,81089491998.53006,10605,NA,NA
D_PV_3_TFD,247659861224.811,20742,87727875916.73502,13843,87702761628.80914,10605,NA,NA
D_PV_3_TFN,206263794350.86603,20742,84624718704.76239,13843,84587433779.36372,10605,NA,NA
D_PV_4_TFD,263788592896.5642,20742,97143745296.22852,13843,97110928848.90771,10605,NA,NA
D_PV_4_TFN,186870304005.39276,20742,77580823533.70221,13843,77551483265.86832,10605,NA,NA
D_TR_1_T0D,241523533729.94287,20742,84749564933.11172,13843,84722144226.35143,10605,NA,NA
D_TR_1_T0N,191074767069.91116,20742,61090623370.90937,13843,61063118432.377,10605,NA,NA
D_TR_1_TFD,260764070978.82126,20742,72572352254.83939,13843,72528121820.35802,10605,NA,NA
D_TR_1_TFN,139745588807.2704,20742,42810954366.56468,13843,42778110002.61832,10605,NA,NA
D_TR_2_T0D,233016874079.4131,20742,74581127153.55177,13843,74555028887.63307,10605,NA,NA
D_TR_2_T0N,186368239561.1669,20742,62078793242.819115,13843,62055716506.18276,10605,NA,NA
D_TR_2_TFD,233572944661.53998,20742,81072153507.13548,13843,81046168527.34303,10605,NA,NA
D_TR_2_TFN,170863702506.26608,20742,55504797753.62726,13843,55479480978.896286,10605,NA,NA
D_TR_3_TFD,239998638565.46606,20742,90744479222.1963,13843,90718064536.94077,10605,NA,NA
D_TR_3_TFN,213448448471.53354,20742,65658984364.907486,13843,65622048092.30766,10605,NA,NA
D_TR_4_TFD,256126490311.64813,20742,88282285134.25774,13843,88258947502.27629,10605,NA,NA
D_TR_4_TFN,202198170201.98337,20742,60295502222.95612,13843,60272900915.05522,10605,NA,NA
D_WA_1_T0D,266253235523.39172,20742,96605171489.74014,13843,96445036945.86455,10605,NA,NA
D_WA_1_T0N,204911559721.19257,20742,66662830181.74429,13843,66638890350.21998,10605,NA,NA
D_WA_1_TFD,172144679446.91614,20742,56493809171.85345,13843,56425395930.94525,10605,NA,NA
D_WA_1_TFN,141276931512.0742,20742,48832105099.46265,13843,48800723313.20074,10605,NA,NA
D_WA_2_T0D,165197679528.61252,20742,61650506390.60939,13843,61584908352.839386,10605,NA,NA
D_WA_2_T0N,182908467790.34567,20742,63297734305.01618,13843,63272799312.500885,10605,NA,NA
D_WA_2_TFD,153317461402.86688,20742,55950744575.47723,13843,55906699636.03563,10605,NA,NA
